"","GTAP","GTAP_code","Value","GTAP_country"
"1","c_b",1,433154,"aus"
"2","gro",1,6120841,"aus"
"3","ocr",1,1663656,"aus"
"4","osd",1,2197900,"aus"
"5","pdr",1,7620,"aus"
"6","pfb",1,303484,"aus"
"7","v_f",1,465801,"aus"
"8","wht",1,10402271,"aus"
"9","c_b",2,42360,"xoc"
"10","gro",2,6568,"xoc"
"11","ocr",2,33451,"xoc"
"12","osd",2,240785,"xoc"
"13","pdr",2,4241,"xoc"
"14","pfb",2,135545,"xoc"
"15","v_f",2,1145215,"xoc"
"16","wht",2,153,"xoc"
"17","c_b",3,3366370,"chn"
"18","gro",3,87400206,"chn"
"19","ocr",3,8438362,"chn"
"20","osd",3,43757901,"chn"
"21","pdr",3,59650066,"chn"
"22","pfb",3,16472341,"chn"
"23","v_f",3,100350565,"chn"
"24","wht",3,47462560,"chn"
"25","c_b",4,21289,"jpn"
"26","gro",4,61894,"jpn"
"27","ocr",4,46865,"jpn"
"28","osd",4,151730,"jpn"
"29","pdr",4,1542000,"jpn"
"30","pfb",4,97302,"jpn"
"31","v_f",4,758723,"jpn"
"32","wht",4,211600,"jpn"
"33","c_b",5,31606,"kor"
"34","gro",5,61272,"kor"
"35","ocr",5,49954,"kor"
"36","osd",5,63553,"kor"
"37","pdr",5,729814,"kor"
"38","pfb",5,2533,"kor"
"39","v_f",5,520179,"kor"
"40","wht",5,4000,"kor"
"41","gro",6,742097,"xea"
"42","ocr",6,463724,"xea"
"43","osd",6,163030,"xea"
"44","pdr",6,465839,"xea"
"45","pfb",6,19579,"xea"
"46","v_f",6,820061,"xea"
"47","wht",6,343211,"xea"
"48","c_b",7,158731,"mys"
"49","gro",7,7547,"mys"
"50","ocr",7,21714,"mys"
"51","osd",7,6300993,"mys"
"52","pdr",7,684416,"mys"
"53","pfb",7,16448,"mys"
"54","v_f",7,226590,"mys"
"55","c_b",8,395590,"phl"
"56","gro",8,2516827,"phl"
"57","ocr",8,106817,"phl"
"58","osd",8,317610,"phl"
"59","pdr",8,4651490,"phl"
"60","pfb",8,31124,"phl"
"61","v_f",8,7010672,"phl"
"62","c_b",9,1835141,"tha"
"63","gro",9,1151644,"tha"
"64","ocr",9,285065,"tha"
"65","osd",9,4256502,"tha"
"66","pdr",9,9715358,"tha"
"67","pfb",9,31291,"tha"
"68","v_f",9,3261871,"tha"
"69","wht",9,1244,"tha"
"70","c_b",10,233387,"vnm"
"71","gro",10,992604,"vnm"
"72","ocr",10,584590,"vnm"
"73","osd",10,950085,"vnm"
"74","pdr",10,7469890,"vnm"
"75","pfb",10,116114,"vnm"
"76","v_f",10,3555173,"vnm"
"77","c_b",11,443895,"idn"
"78","gro",11,6410589,"idn"
"79","ocr",11,1081728,"idn"
"80","osd",11,19489075,"idn"
"81","pdr",11,10677887,"idn"
"82","pfb",11,1713606,"idn"
"83","v_f",11,7540985,"idn"
"84","c_b",12,243913,"xse"
"85","gro",12,1287390,"xse"
"86","ocr",12,5470028,"xse"
"87","osd",12,2253515,"xse"
"88","pdr",12,10731705,"xse"
